Biblioteca,cumplimiento_luz,cumplimiento_ruido,cumplimiento_wifi,indice_compuesto,indice_ponderado
Biblioteca Luis Angel Arango,96.0,100.0,40.0,78.67,86.4
Luis Ángel Arango,92.59,51.85,100.0,81.48,77.78
Biblioteca Casa Gómez Campuzano,100.0,10.0,100.0,70.0,64.0
Virgilio Barco Bibloteca,100.0,0.0,99.0,66.33,59.8
Parque vertical CEFE,96.3,0.0,100.0,65.43,58.52
Julio Mario Santo Domingo,72.0,6.0,100.0,59.33,51.2
Biblioteca el Tintal,38.78,67.35,40.82,48.98,50.61
Biblioteca Julio Mario Santo Domingo,30.0,44.0,91.0,55.0,47.8
Biblioteca Pública Bosa,63.33,0.0,100.0,54.44,45.33
FRANCISCO JOSE DE CALDAS,50.0,16.67,93.33,53.33,45.33
Virgilio Barco,47.54,24.59,77.05,49.73,44.26
Virgilio varco,53.33,0.0,100.0,51.11,41.33
Biblioteca el Parque,0.0,20.41,100.0,40.14,28.16
Biblioteca Pública Las Ferias,31.78,2.67,66.0,33.48,26.98
Biblioteca Pública del Deporte - CEFE Chapinero,0.0,0.0,100.0,33.33,20.0
Biblioteca Pública Virgilio Barco,4.76,2.38,78.57,28.57,18.57
Gabriel Garcia Marquez - Tunal,10.67,0.67,58.0,23.11,16.13
