Biblioteca,registros,lux_promedio,lux_mediana,ruido_promedio,ruido_mediana,bajada_promedio_mbps,bajada_mediana_mbps,ocupacion_promedio
Biblioteca Pública Las Ferias,450,540.4903703703704,288.5,61.60629629629629,52.866666666666674,16.090244444444444,15.5,2.013333333333333
Gabriel Garcia Marquez - Tunal,150,334.43333333333334,259.5,54.96111111111111,54.0,12.961266666666667,12.5,1.0
Biblioteca Pública del Deporte - CEFE Chapinero,150,137.83733333333333,125.5,63.15466666666667,59.2,119.13266666666668,117.1,9.0
Virgilio Barco Bibloteca,100,3168.106666666667,3134.666666666667,55.88399999999999,55.36666666666667,38.075,36.150000000000006,9.08
Biblioteca Julio Mario Santo Domingo,100,364.4236666666667,212.55,43.21583333333333,40.56666666666666,19.3045,18.72,4.71
Virgilio Barco,61,1303.4388888888889,371.1666666666667,49.66166666666666,52.016666666666666,29.202568306010928,15.7,9.688524590163935
Julio Mario Santo Domingo,50,663.1519999999999,775.65,48.053999999999995,48.15,45.736000000000004,46.95,12.6
Biblioteca Luis Angel Arango,50,1217.3266666666668,595.0,30.046666666666667,28.0,53.12,0.0,14.6
Biblioteca el Parque,49,220.31292517006804,308.3333333333333,54.86190476190476,52.5,85.1734693877551,90.5,2.795918367346939
Biblioteca el Tintal,49,627.5170068027211,344.6666666666667,36.60530612244898,36.13333333333333,9.628979591836735,9.5,5.63265306122449
Biblioteca Pública Virgilio Barco,42,306.04761904761904,266.0,55.97698412698413,53.11666666666667,55.70428571428571,24.855,9.69047619047619
Biblioteca Casa Gómez Campuzano,40,575.4583333333333,576.6666666666667,44.74166666666667,44.83333333333333,25.625,26.0,4.225
Biblioteca Pública Bosa,30,629.2622222222221,785.1166666666666,68.21444444444445,66.56666666666668,45.93333333333333,46.25,5.0
FRANCISCO JOSE DE CALDAS,30,1387.3666666666666,377.0,45.20333333333333,45.150000000000006,39.96,45.4,
Luis Ángel Arango,27,361.3703703703704,345.0,40.81481481481482,40.0,17.0,17.1,22.88888888888889
Parque vertical CEFE,27,800.7283950617284,741.6666666666666,63.406172839506176,61.866666666666674,134.3837037037037,165.7,2.6666666666666665
Virgilio varco,15,677.5111111111111,391.0,59.24444444444444,59.46666666666667,58.0,50.0,
